,Movie_Title,Year_of_Release,Director,Genre,Runtime,IMDb_Rating,IMDb_Votes,Metascore,Gross,Plot_Outline
621,Waqt,1965,Director:Yash Chopra,"Drama, Romance            ",178 min,7.8,"1,286", , ,"Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected."
622,Jail,2009,Director:Madhur Bhandarkar,Drama            ,131 min,6.2,"1,274", , ,"Remanded to policy custody, a man reviews his options in an overcrowded jail while awaiting trial."
623,Khamoshiyan,2015,Director:Karan Darra,"Drama, Horror, Romance            ",122 min,4,"1,272", , ,"An erotic love triangle revolving around a writer adrift in the icy slopes of Kashmir where he discovers a woman with a strange, silent past."
624,Sanam Bewafa,1991,Director:Saawan Kumar Tak,"Drama, Romance            ",160 min,5.4,"1,271", , ,"Salman falls in love with Ruksar but their fathers, despite being neighbours, are sworn enemies. The couple end up marrying but they are shocked when they finally discover the reason why their fathers allow the marriage to take place."
625,Karzzzz,2008,Director:Satish Kaushik,"Action, Drama, Musical            ",142 min,2.1,"1,269", , ,"A singer/dancer, while on tour, starts hallucinating and having visions of having been there before."
626,Saawan... The Love Season,2006,Director:Saawan Kumar Tak,"Drama, Fantasy, Romance            ",123 min,2.8,"1,265", , ,Raj and Kajal lives are shattered when a man with supernatural ability predicts that Kajal will die.
627,16-Dec,2002,Director:Mani Shankar,"Action, Thriller            ",158 min,6.9,"1,265", , ,Indian intelligence agents race against time to stop a renegade Pakistani terrorist from detonating a nuclear weapon in Delhi.
628,Samrat & Co.,2014,Director:Kaushik Ghatak,"Mystery, Thriller            ",125 min,6.3,"1,263", , ,A small town tycoon gets murdered. The daughter hires a private investigator to catch the real culprit.
629,Meri Jung,1985,Director:Subhash Ghai,"Action, Drama            ",164 min,7.3,"1,263", , ,Two top lawyers battle against each other while the whole city witnesses the battle.
630,Ajooba,1991,"Directors:Shashi Kapoor,Gennadiy Vasilev","Action, Adventure, Comedy            ",178 min,5.3,"1,248", , ,"The evil Vizier of Baharistan kills the royal family and takes power himself but the real crown prince, who has survived his machinations, returns to his homeland to avenge his parents as a masked vigilante 'Ajooba'."
631,Nasha,2013,Director:Amit Saxena,"Drama, Thriller            ",122 min,3.2,"1,245", , ,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out."
632,Vishwatma,1992,Director:Rajiv Rai,"Action, Drama, Thriller            ",174 min,6.5,"1,245", , ,"A cop and a criminal, both on their respective missions of duty and revenge, go from India to Kenya in order to extradite a reclusive crime lord to India."
633,Yeh Majhdhaar,1996,Director:Esmayeel Shroff,"Drama, Romance            ",139 min,4.9,"1,245", , ,"Judge Krishna (Rahul Roy) and Radha (Manisha Koirala) are in love. Due to class conflicts, they are unable to marry, but continue with a very intimate relationship, which results in Radha ...                See full summary »"
634,Kanpuriye,2019,Director:Ashish Aryan,Drama            ,103 min,6.3,"1,237", , ,"The story revolves around the story of three boys from the small town of Kanpur, who have big dreams, and even bigger challenges."
635,Road,2002,Director:Rajat Mukherjee,Thriller            ,134 min,5.6,"1,229", ,$0.07M,"A couple decide to pick up a hitchhiker, but he ends up being a psychotic stalker who puts in them in danger."
636,Barsaat,1995,Director:Rajkumar Santoshi,"Action, Romance            ",166 min,5.4,"1,228", , ,"A naive young man and a rich city girl fall in love. Her stepfather, however, doesn't approve of the match and will stop at nothing to split the pair."
637,Children of War,2014,Director:Mrityunjay Devvrat,"Drama, History, War            ",160 min,6.8,"1,227", , ,Would you go to war for peace? A war child's search for acceptance and a nation inundated in blood.
638,Tum Bin 2,2016,"Directors:Anubhav Sinha,Peter Pedrero","Drama, Romance            ",147 min,4.8,"1,224", , ,"After a skiing accident, Taran thinks her fiance is dead and grieves for months. Soon, Shekhar enters her life, helps her rediscover happiness and falls in love with her."
639,Jis Desh Mein Ganga Rehta Hain,2000,Director:Mahesh Manjrekar,"Comedy, Crime, Drama            ",141 min,4.9,"1,224", , ,Gangaram alias Ganga has been raised by his foster parents who reside in the village thus he gets accustom to village life. 24 years later his birth parents multi-millionaire Avinash and ...                See full summary »
640,Barot House,2019,Director:Bugs Bhargava Krishna,"Mystery, Thriller            ",89 min,7.3,"1,214", , ,A series of inexplicable and gruesome killings tear the Barot family apart and destroy the close relationship between father and son. Who could be behind this mindless slaughter? When the ...                See full summary »
641,Alag: He Is Different.... He Is Alone...,2006,Director:Ashu Trikha,"Action, Drama, Fantasy            ",123 min,3.8,"1,214", , ,An odd orphan boy is forced to use his secret super powers when his new classmates bully him. A scientist abducts him to use the boy's powers for his own evil gains.
642,Bangistan,2015,Director:Karan Anshuman,"Comedy, Drama            ",135 min,4.5,"1,213", , ,"Two blundering terrorists with lofty ideologies, but ordinary talent, on a mission to change the world."
643,D,2005,Director:Vishram Sawant,"Crime, Drama, Thriller            ",107 min,6.8,"1,211", , ,"Deshu, a mechanic from Dubai, comes home to Mumbai, and gets embroiled in a crime by accident. The film shows his meteoric rise from common, law-abiding man to underworld kingpin."
644,One Night Stand,I) (2016,Director:Jasmine D'Souza,"Drama, Romance            ",97 min,3.1,"1,210", , ,The story is about Urvil Raisingh and Celina who meet at an event and a memorable night later. Returning back home they continue with their lives. The memories of Celina haunt Urvil. What happens next forms the crux of the unfolding drama. One Night Stand explores the hypocritical world we live in. What is it that Urvil wants?
645,Shaadi Karke Phas Gaya Yaar,2006,Director:K.S. Adiyaman,"Comedy, Drama, Romance            ",152 min,4,"1,210", ,$0.14M,"Ayaan tricks a model into marrying him, when she leaves her diary in his family's garage, allowing him to follow her around."
646,I Am 24,2010,Director:Saurabh Shukla,"Comedy, Romance            ",118 min,6,"1,208", , ,"Subhendu, a middle-aged writer, falls in love with a much younger woman named Sheela. In order to woo her, he pretends to be a younger man."
647,Pizza,I) (2014,Director:Akshay Akkineni,Horror            ,107 min,6.3,"1,206", , ,A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?
648,Barah Aana,2009,Director:Raja Menon,"Comedy, Crime, Drama            ",97 min,6.8,"1,195", , ,Three impoverished room-mates kidnap middle-classed men and demand small ransoms to improve their respective lifestyles.
649,Aksar,2006,Director:Ananth Narayan Mahadevan,"Drama, Romance, Thriller            ",135 min,4.8,"1,191", , ,A love triangle where everybody is blackmailing the other two gets a nasty upset when one of them is suddenly found murdered.
650,Yeshwant,1997,Director:Anil Mattoo,"Action, Crime, Drama            ",145 min,7.2,"1,089", , ,"Tough policier about a straight, but maverick cop who does not believe in bending over, no matter what. He encourages his wife to become a top government officer and tutors her at home, ...                See full summary »"
651,Suhaag,1979,Director:Manmohan Desai,"Action, Drama, Musical            ",164 min,6.7,"1,088", , ,"Two brothers gets separated at the time of their birth. But when they reunite as adults, challenges welcome them."
652,Helicopter Eela,2018,Director:Pradeep Sarkar,Drama            ,135 min,5.6,"1,084", ,$0.07M,"Eela Raiturkar, an aspiring singer, gives up on her career after her husband abandons her and their son, Vivaan. However, years later, he encourages his mother to pursue her dream."
653,Pal Pal Dil Ke Paas,2019,Director:Sunny Deol,"Action, Drama, Romance            ",154 min,4.6,"1,083", , ,"When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal, sparks are bound to fly. But will their love story blossom despite the odds?"
654,Parampara,1993,Director:Yash Chopra,"Action, Drama, Romance            ",155 min,5.6,"1,083", , ,"The grandchildren of two sworn enemies want to put the bitterness between the families behind them, but will the bloodthirsty traditions compel them to do otherwise?"
655,Raat,1992,Director:Ram Gopal Varma,Horror            ,127 min,7.1,"1,075", , ,"Mini shifts to her new house along with her parents Mr. and Mrs. Shrma, as well as, nephew Bunty. Bunty finds a cat in the backyard of the house and gets attracted to it but the cat soon ...                See full summary »"
656,Sapoot,1996,Director:Jagdish A. Sharma,"Action, Crime, Drama            ",158 min,5.2,"1,074", , ,"When a gangster is killed by his rivals, his two sons vow revenge."
657,Krishna Cottage,2004,Director:Santram Varma,"Horror, Mystery            ",124 min,5.2,"1,071", , ,A group of collegians are forced to take shelter in a mysterious Krishna Cottage for the night. Little do they know that the cottage is haunted by a spirit.
658,Joru Ka Ghulam,2000,Director:Shakeel Noorani,"Comedy, Drama, Romance            ",169 min,5.1,"1,068", , ,"A conman disguises himself as a groom in order to con a wealthy yet a troubled businessman, later reforms his criminal ways to win his ladylove."
659,Religion,2007,Director:Bhavna Talwar,"Drama, History            ",105 min,8,"1,065", , ,"When a priest's wife brings home an orphan boy, her husband is against it. Over time, he develops a connection with him, but is shocked when he finds out the boy's religion."
660,Jaagruti,1993,Director:Suresh Krishna,"Action, Drama            ",134 min,4.3,"1,064", , ,"Jugnu is a playful boy whose spending time with his friends doing nothing.He is in love with Shalu but their relationship is not approved by her father Sunderlal.Vishal,Jugnu's elder ...                See full summary »"
661,Muskurahatein,2017,Director:J.S. Randhawa,Romance            ,132 min,9,"1,063", , ,A married professor and his married student find themselves in a dilemma when they are attracted to each other despite sharing a good equation with their respective partners.
662,C Kkompany,2008,Director:Sachin Yardi,"Comedy, Drama, Thriller            ",127 min,5.4,"1,063", , ,"Three down on their luck men adapts a strategical idea of extortion, only to find themselves in deep trouble."
663,Shahrukh Bola 'Khoobsurat Hai Tu'... And She Believed in It,2010,Director:Makrand Deshpande,"Comedy, Drama            ",89 min,5,"1,060", , ,"While dealing with personal issues, a woman hopes to meet and act with a famous actor."
664,Khoon Bhari Maang,1988,Director:Rakesh Roshan,"Drama, Thriller, Action            ",172 min,6.6,"1,057", , ,"A man marries a rich widow for her money and tries to murder her but she survives, gets a new face due to plastic surgery and returns for revenge."
665,Guddi,1971,Director:Hrishikesh Mukherjee,"Drama, Comedy, Family            ",121 min,7.2,"1,053", , ,"A teenage girl will not accept her family's attempt to arrange a marriage for her, as her heart is currently too full of love for the movies and heartthrob actor ""Dharmendra."""
666,Patthar Ke Phool,1991,Director:Anant Balani,"Action, Drama, Romance            ",155 min,5.6,"1,052", , ,A young police officer and the daughter of a gangster fall in love at first sight.
667,Main Aisa Hi Hoon,2005,Director:Harry Baweja,"Drama, Family, Musical            ",162 min,4.8,"1,050", , ,"Indraneel better known as Neel is mentally unfit, lives in a small hill station where everyone loves him works at a coffee shop and as single parent takes care of his daughter ...                See full summary »"
668,Chhappad Phaad Ke,2019,Director:Sameer Joshi,Drama            ,90 min,6.3,"1,047", , ,"Chappad Phaad Ke is a satirical look at the consumerism and hypocrisy that engulfs us in our daily lives, set in the background of a typical middle class Maharashtrian family. The Gupchup ...                See full summary »"
669,Shirin Farhad Ki Toh Nikal Padi,2012,Director:Bela Segal,Romance            ,111 min,4.2,"1,046", , ,Farhad Pastakia (Boman Irani) has a dream job as a bra-and-panty salesman. Except that he is a 45-year old Parsi bachelor still living with his overbearing mother and grandmother. But it's ...                See full summary »
670,Fugly,2014,Director:Kabir Sadanand,"Drama, Thriller            ",134 min,4.7,"1,040", , ,Four friends fight against a corrupt police officer who extorts money from them for not framing them in a murder which the officer committed himself.
671,Daud: Fun on the Run,1997,Director:Ram Gopal Varma,"Action, Adventure, Comedy            ",180 min,5.9,"1,040", , ,"Nandu, a small-time thief, is assigned to smuggle an unknown packet for a petty amount. With the police pursuing him, Nandu has to elude them and deliver the packet on time."
672,Aetbaar,2004,Director:Vikram Bhatt,"Action, Drama, Musical            ",152 min,4.6,"1,039", , ,"A protective father starts digging deeper into the past of his daughter's possessive, unpredictable and violent boyfriend."
673,Sorry Bhai!,2008,Director:Onir,"Comedy, Drama, Romance            ",154 min,6.2,"1,034", , ,"While attending his brother's wedding, a Scientist falls for the bride."
674,Love Breakups Zindagi,2011,Director:Sahil Sangha,"Comedy, Drama, Romance            ",156 min,5.8,"1,033", , ,A couple and many of their friends experience changes and challenges in their respective lives after attending a wedding.
675,Striker,2010,Director:Chandan Arora,"Action, Crime, Drama            ",128 min,6.9,"1,032", , ,"Amidst strictly enforced curfew by Bombay Police during December 1992 following Hindu-Muslim riots, Suryakant - one of four siblings from Malad's Malvani slums, heads home. While doing so, ...                See full summary »"
676,Kurukshetra,2000,Director:Mahesh Manjrekar,"Action, Crime, Drama            ",129 min,6.1,"1,032", ,$0.04M,"ACP Prithviraj is an honest cop. When he arrests the Chief Minister's son for assaulting a girl, the minister tries his best to create havoc in Prithviraj's life."
677,Kadvi Hawa,2017,Director:Nila Madhab Panda,Drama            ,95 min,8.1,"1,029", , ,"Story of a farmer and a bank recovery agent, whose lives are impacted by climate change. Both are willing to go to any length for the sake of their family. What does fate have in store for them?"
678,Chippa,2019,Director:Safdar Rahman,Drama            ,90 min,6.5,"1,027", , ,"On the eve of his tenth birthday, when Chippa receives a letter for his long-absent father, he decides to leave his pavement abode to find out more."
679,Where's the Party Yaar?,2003,Director:Benny Mathews,Comedy            ,110 min,5,"1,027",56,$0.05M,"Harish Kumar Patel lives with his mom and dad in Valsad, Gujarat, India, where he is studying Electronic Engineering. His dad, Satish Kumar, wants him to re-locate to the U.S., live with ...                See full summary »"
680,Naam,1986,Director:Mahesh Bhatt,"Crime, Drama, Thriller            ",177 min,7.5,"1,025", , ,"Follows the story of Vicky, who gets entrapped in a criminal plot after he leaves his country for work."
681,Satyam Shivam Sundaram: Love Sublime,1978,Director:Raj Kapoor,"Drama, Romance            ",172 min,7.1,"1,024", , ,"Rupa (Zeenat Aman) grew up being cursed as ""unlucky"" in the village she was born in. Her mother died during childbirth. Then a kitchen accident leaves half her face disfigured. This is an ...                See full summary »"
682,Department,2012,Director:Ram Gopal Varma,"Action, Crime, Thriller            ",141 min,3.1,"1,023", , ,A suspended cop joins hands with inspector Mahadev Bhonsle to free the city from underworld.
683,Mudda 370 J&K,2019,Director:Rakesh Sawant,"Action, Drama            ",132 min,8.5,"1,022", , ,"A film based on the real story of burning Kashmir. In the year 1990, when an estimated population of around 7 lakh Hindu Kashmiri were forcibly uprooted from their homeland by the Muslim ...                See full summary »"
684,Harami,2020,Director:Shyam Madiraju,"Crime, Drama, Romance            ",100 min,7.6,"1,020", , ,"An orphan teenage pickpocket working in the trains of Mumbai along with his gang, embarks on a life-altering journey when faced by the daughter of one of his victims who's committed suicide after being robbed."
685,Hera Pheri,1976,Director:Prakash Mehra,"Action, Comedy, Crime            ",164 min,6.8,"1,019", , ,Two friends Ajay and Vijay gets separated from each other when they discover secrets about their past in their own ways.
686,Ittefaq,1969,Director:Yash Chopra,"Crime, Mystery, Thriller            ",104 min,7.4,"1,019", , ,"Taking place almost entirely over the course of one stormy night, a woman is terrified when an accused murderer escapes from a mental hospital and seeks refuge in her home."
687,3 AM: A Paranormal Experience,2014,Director:Vishal Mahadkar,"Horror, Romance            ",103 min,5,"1,018", , ,The story of the movie revolves around three friends who are going to make a reality show on the existence of ghosts in the world.
688,Auzaar,1997,Director:Sohail Khan,"Action, Drama, Musical            ",127 min,4.5,"1,016", , ,Two college friends find themselves on the opposite side of the law when they reunite.
689,100 Days,1991,Director:Partho Ghosh,"Horror, Romance, Thriller            ",161 min,6.5,"1,016", , ,"A young, clairvoyant woman has a vision of a murder and sets out to uncover the truth before the killer finds her."
690,Sonali Cable,2014,Director:Charudutt Acharya,"Comedy, Drama            ",127 min,5.3,"1,008", , ,"Sonali, a spunky self-made internet operator, proudly runs a small outfit along with her band of ghetto boys catering to a sprawling Mumbai suburb. Complications arise when Sonali's ...                See full summary »"
691,"I Am Alone, So Are You...",2019,Director:Harish Vyas,Romance            ,117 min,6.3,"1,008", , ,A homosexual boy. A lesbian girl. A road trip from New Delhi to Himachal which helps them discover the Love in friendship.
692,Naram Garam,1981,Director:Hrishikesh Mukherjee,"Comedy, Drama            ",122 min,7.4,"1,008", , ,An impoverished employee tries to prevent his superiors and employers from marrying his sweetheart.
693,Dishkiyaoon,2014,Director:Sanamjit Singh Talwar,"Action, Thriller            ",119 min,5.2,"1,006", , ,"Vicky wanted to be the godfather of the Mumbai underworld. He gains everything and also loses everything. He gains respect, power, and leadership, but he loses love and friendship."
694,Maharathi,2008,Director:Shivam Nair,"Crime, Drama, Mystery            ",114 min,7.1,"1,003", , ,A street-smart newly recruited chauffeur partners with his late employer's wife to pocket a hefty insurance claim.
695,Paltan,2018,Director:J.P. Dutta,"Action, Drama, History            ",150 min,5.3,998, , ,An action-war drama based on the 1967 Nathu La and Cho La clashes along the Sikkim border after 1962 Sino-Indian War.
696,Liar's Dice,2013,Director:Geethu Mohandas,"Adventure, Drama, Family            ",104 min,6.8,998, , ,A mother and her daughter embarks on a desperate journey to find her missing husband. She met an guy who promised to help her for money. With limited money it become difficult to continue the search which leads to anxiety and despair.
697,Woh Kaun Thi?,1964,Director:Raj Khosla,"Drama, Mystery, Romance            ",140 min,7.6,998, , ,"One stormy night, a doctor offers a ride to a ghostly woman he meets on the side of the road. Later, he discovers his intended bride is identical in appearance to the ghost. Who was she and why does she haunt him?"
698,Satellite Shankar,2019,Director:Irfan Kamal,"Action, Drama            ",135 min,6.3,990, , ,The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.
699,Ram Teri Ganga Maili,1985,Director:Raj Kapoor,"Drama, Musical, Romance            ",178 min,6.7,990, , ,"In order to give her son a good future, Ganga sets out on a journey to Kolkata to find her husband who left her."
700,Arjun,1985,Director:Rahul Rawail,"Action, Crime, Drama            ",154 min,7.1,906, , ,Arjun Malvankar after his graduation thrives to get job. The corruption and injustice taking place in his community frustrates him to the extent of revolting with the help of some of his ...                See full summary »
701,Mausam,1975,Director:Gulzar,"Musical, Romance            ",156 min,8.1,896, , ,"A medical student, Amarnath meets and falls in love with the daughter of a herbal medicine healer, Chanda while preparing for his exams in Darjeeling. He returns to Calcutta to sit his ...                See full summary »"
702,Aa Dekhen Zara,2009,Director:Jehangir Surti,"Action, Sci-Fi, Thriller            ",117 min,5,895, , ,"A photographer has nothing going for him, until he inherits a camera that has the ability to predict the future. In the process, he gains dangerous enemies who wants his camera for illicit goals."
703,Khatta Meetha,1978,Director:Basu Chatterjee,"Comedy, Drama            ",128 min,7.5,895, , ,Two old people get married and their children from their previous marriages now have to live together under the same roof. Clashes and hilarity ensue.
704,Purab Aur Pachhim,1970,Director:Manoj Kumar,"Drama, Romance            ",142 min,7.4,894, , ,"Circa British rule in India, Harnam betrays a freedom fighter, and as a result is rewarded, but the freedom fighter is killed, leaving his wife, and family devastated and destitute. Years ...                See full summary »"
705,Aap Ki Khatir,2006,Director:Dharmesh Darshan,"Comedy, Romance            ",122 min,3.6,893, , ,"Anu hires Aman, an escort, to accompany her back to London in the hope of making her hunky ex-boyfriend Danny jealous at her sister's wedding. Trouble ensues when Aman falls in love with Anu."
706,Love Love Love,1989,Director:Babbar Subhash,"Drama, Romance            ",146 min,5.5,893, , ,"Amit, the son of a taxi driver, and Reema, a rich business man's daughter, fall in love. However Reema's father wants to marry her to Vicky, who's father is the biggest gangster in Mumbai. How will their love triumph?"
707,Guddu Rangeela,2015,Director:Subhash Kapoor,"Comedy, Drama            ",124 min,5.3,891, , ,"Two small-town musicians kidnap a young woman in order to make a quick buck, but earn the wrath of a powerful politician in the bargain."
708,Biwi Ho To Aisi,1988,Director:J.K. Bihari,"Comedy, Drama            ",149 min,5.8,890, , ,"The story is a family drama that revolves around the lead pair, played by Rekha and Farooq Shaikh, who play a married couple. It's about how the character Shalu overcomes all obstacles in ...                See full summary »"
709,Mera Saaya,1966,Director:Raj Khosla,"Drama, Musical, Mystery            ",128 min,7.6,890, , ,"A lawyer's wife dies in his arms. Yet, another woman - identical in appearance and accused of aiding a gang of bandits - claims to be the lawyer's wife. A courtroom drama ensues."
710,Tere Bin Laden: Dead Or Alive,2016,"Directors:Abhishek Sharma,Deepak Chandra",Comedy            ,104 min,4.3,889, , ,A Bollywood director is hired by an American talent agent to make a film on Osama bin Laden. The plan to use an Osama doppelganger in order to prove his death boomerangs when a Taliban arms dealer hijacks their idea to prove he's alive.
711,Roop Ki Rani Choron Ka Raja,1993,Director:Satish Kaushik,"Action, Drama, Musical            ",190 min,4.9,889, , ,"Custom Officer, Verma red-handily catches Jagmohan Lal alias Jugran, smuggling price-less diamonds through India's airport. Before Verma could arrest him; he is killed by Jugran who then ...                See full summary »"
712,Dangerous Ishq,2012,Director:Vikram Bhatt,"Fantasy, Mystery, Romance            ",130 min,3.9,886, , ,Three doppelgangers(one girl+ two boys).Two of them loves each other and get together from many lives .And the third one(who can't be killed easily)also wants the girl and he tries to separate them through many lives.
713,Calendar Girls,2015,Director:Madhur Bhandarkar,Drama            ,131 min,4.2,885, , ,The story of five aspiring models who are selected to appear in a photoshoot for a prestigious calendar and what happens to them later.
714,Shaapit: The Cursed,2010,Director:Vikram Bhatt,"Adventure, Horror, Romance            ",145 min,5.4,885, , ,"In order to wed his sweetheart, a male must reverse a 350-year old curse on her family."
715,Love and Shukla,2017,Director:Jatla Siddartha,"Comedy, Drama, Romance            ",107 min,7.4,882, , ,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters."
716,Insaaf: The Final Justice,1997,Director:Dayal Nihalani,"Action, Comedy, Drama            ",155 min,4.3,880, , ,"Vikram is a honest police inspector on the trail of Chimanbhai, little knowing that people behind the crimes are none other than politicians who will do anything to protect the criminals."
717,Kucch To Hai,2003,"Directors:Anurag Basu,Anil v Kumar","Horror, Mystery            ",143 min,4.3,879, , ,"Indian film-makers have now come up with their very own ""I Know What You Did Last Summer', a story centering around a College Professor, who kills his wife, and hides her body in the ...                See full summary »"
718,Dudes in the 10th Century,2003,Director:Imtiaz Punjabi,Comedy            ,130 min,4.7,876, , ,"Bombay City lives in fear of a notorious thief who calls himself Chindi Chor, and steals whenever and whatever he desires without any regard to security, and police protection. When Ghoshal...                See full summary »"
719,Elaan,1994,Director:Guddu Dhanoa,"Action, Crime, Thriller            ",146 min,5.4,876, , ,"When ACP Ramakant's elder son is killed, his attempts to find justice the legal way meet little success. His younger son, Vishal, decides to take the law into his own hands."
720,Mirch,2010,Director:Vinay Shukla,"Comedy, Drama, Fantasy            ",105 min,6.5,875, , ,A story-writer attempts to convince a producer to accept four erotic stories from the Panchtantra.
721,Scotland,2019,Director:Manish Vatssalya,Crime            ,120 min,5.3,871, , ,A daughter has been sexually assaulted by four thugs. The courts acquit the defendants and so the grieving father decides to take justice into his own hands in a premeditated revenge plot that has a price of its own.
722,The Pool,2007,Director:Chris Smith,Drama            ,98 min,7.2,869,77,$0.09M,"A boy in abject poverty works in a hotel and becomes obsessed with a swimming pool in the opulent hills of Panjim, Goa, India. His life gets turned upside-down when he attempts to meet the mysterious family who lives at the house."
723,Rush,2012,Director:Shamin Desai,"Crime, Thriller            ",110 min,3.7,868, , ,"Story of a struggling news reporter engulfed by the veneer of glamour, money, power and the enviable life of media."
724,Jai Mummy Di,2020,Director:Navjot Gulati,"Comedy, Drama, Romance            ",103 min,3.7,867, , ,Jai Mummy Di is a light-hearted family comedy that portrays the trials and tribulations a couple has to undergo due to the dynamics between their respective mothers.
725,Plan,2004,Director:Hriday Shetty,"Action, Comedy, Crime            ",149 min,4.1,867, , ,"To pay off their gambling debt, four best friends kidnap an organized crime figure having mistaken him for a wealthy businessman."
726,Chori Chori,2003,Director:Milan Luthria,"Comedy, Romance, Musical            ",135 min,4.8,865, , ,Khushi (Rani Mukerji) is a careless worker always conning her boss and making excuses to bunk her duty. She meets Ranbir Malhotra (Ajay Devgan) and comes to know that the home he plans to ...                See full summary »
727,Hanuman,2005,"Directors:V.G. Samant,Milind Ukey",Animation            ,89 min,7.6,862, , ,"This animated movie depicts Hanuman's life from birth. The narrator is actor Mukesh Khanna. The movie relays how Hanuman was born to Anjani a female Apsara and Kesari, by the blessings of Vayu-Dev, the Wind God."
728,Daulat Ki Jung,1992,Director:S.A. Kader,"Action, Adventure, Romance            ",143 min,5.7,857, , ,Two young lovers elope to get married and get caught between two gangs searching for buried treasure.
729,Footpath,2003,Director:Vikram Bhatt,"Action, Crime, Drama            ",164 min,5.3,856, , ,"Two friends of a man help him avenge his father's death. Years later, he reunites with his friends who have now become criminals. What they don't know, is that he is now an undercover cop."
730,Warrior Savitri,2016,Director:Param Gill,"Action, Thriller            ",136 min,4.1,855, , ,"A modern day adaptation of the legendary fable of Savitri, Satyavaan and Yamaraj from Mahabharata, one of the major Sanskrit epics of ancient India. The modern day Savitri is adept in martial arts and will do anything to save her husband."
731,Pyare Mohan,2006,"Directors:Ravinddra Khare,Indra Kumar","Action, Comedy, Crime            ",130 min,3.3,855, , ,A blind man Pyare and his deaf friend Mohan fall in love with twin sisters Preeti and Priya. But their relationships spiral into chaos when the sisters get falsely implicated in a murder case and the men have to find a way to save them.
732,Kuchh Bheege Alfaaz,2018,Director:Onir,Romance            ,116 min,7.5,854, , ,"In a world of pings, likes, tweets, shares and comments, 2 strangers connect over a mis-dial and WhatsApp their way into each others' hearts, safely hidden behind digital screens. But will the emojis translate to emotions when they reveal their truth to one another."
733,Badnaam Gali,2019,Director:Ashwin Shetty,Comedy            ,95 min,7.1,854, , ,"It encompasses the journey of a surrogate mother, played by Patralekhaa, and her dynamic relationship with people around her."
734,Parichay,1972,Director:Gulzar,"Drama, Family, Musical            ",145 min,7.5,852, , ,"In desperate need of a job, unemployed Ravi (Jeetendra) goes to his maternal uncle (A.K. Hangal) and aunt (Leela Mishra) in their village for a few days. His uncle decides that he can be a ...                See full summary »"
735,...Aur Pyaar Ho Gaya,1997,Director:Rahul Rawail,"Comedy, Drama, Musical            ",147 min,4.7,852, , ,"Grandpa and Grandma Kapoor live a wealthy life-style with their only widower son, Kailashnath and his daughter Ashi who is of marriage-able age. Kailashnath arranges his daughter's marriage...                See full summary »"
736,Gopi Kishan,1994,Director:Mukesh Duggal,"Action, Comedy, Drama            ",161 min,5.6,852, , ,"Gopinath lives a struggling life with his son, Tinku, wife, Chanda and mother. He works in the police force and is a long-time employee but has never received an award or granted promotion ...                See full summary »"
737,Jack & Dil,2018,Director:Sachin P. Karande,"Comedy, Family            ",98 min,7.4,851, , ,"JACK and DIL is a modern day story of new age man Jack, carefree with little materialistic ambitions, earning as much to meet his daily needs. Jack's only passion is to read detective ...                See full summary »"
738,Sandwich,2006,Director:Anees Bazmee,"Comedy, Thriller            ",152 min,5.4,850, , ,"Sher Singh lives with his mother and handicapped sister in Punjab but moves to Mumbai, changes his name to Shekhar, meets Nisha and falls in love. When his mother asks him to return, he ...                See full summary »"
739,John Day,2013,Director:Ahishor Solomon,"Action, Crime, Drama            ",138 min,5.6,849, , ,"A bank manager and his wife, still grieving over their daughter who died in a fire, become pawns in a bank heist with ties to corruption and fraud."
740,Vaada,2005,Director:Satish Kaushik,"Crime, Drama, Mystery            ",122 min,5.6,845, ,$0.09M,A blind husband. An obsessed lover. And the missing body of a murdered wife...?
741,Rhythm,2000,Director:Vasanth,"Drama, Musical, Romance            ",140 min,7.6,845, , ,A single mother changes her opinion about getting married again after meeting a single man and discovering that both of them have a similar past concerning their spouses.
742,Qurbani,1980,Director:Feroz Khan,"Action, Crime, Drama            ",157 min,7.1,844, , ,Two friends live happily until misunderstandings arise between them.
743,Soundtrack,2011,Director:Neerav Ghosh,"Drama, Musical            ",132 min,7.1,843, , ,"Loud music, substance and alcohol abuse wreck the life and career of a talented music composer."
744,Arjun Pandit,1999,Director:Rahul Rawail,"Action, Crime, Romance            ",150 min,5.3,841, , ,Arjun Dixit is a middle class common man in the vicinity of Bombay. All is well for him until he meets Nisha and subsequently falls head over heels in love with her. She is also attracted ...                See full summary »
745,Toofan,1989,Director:Ketan Desai,"Action, Crime            ",174 min,5,840, , ,Honest police officer Hanuman Prasad Singh lives like friend and family with a magician by the name of Ramesh Kumar. Hanuman's wife passes away after giving birth to male twin babies; upon ...                See full summary »
